Distance_mm,Force_N
0.000,0.00000
0.500,0.06833
1.000,0.16767
1.500,0.26934
2.000,0.37888
2.500,0.49917
3.000,0.62906
3.500,0.76362
4.000,0.89596
4.500,1.01981
5.000,1.13196
5.500,1.23335
6.000,1.32855
6.500,1.37051
7.000,1.36439
7.500,1.36537
8.000,1.37145
8.500,1.37759
9.000,1.37787
9.500,1.36815
10.000,1.34794
10.500,1.32085
11.000,1.29330
11.500,1.27211
12.000,1.26190
12.500,1.26335
13.000,1.27314
13.500,1.28540
14.000,1.29426
14.500,1.29633
15.000,1.29204
15.500,1.28546
16.000,1.28245
16.500,1.28812
17.000,1.30453
17.500,1.32959
18.000,1.35774
18.500,1.38198
19.000,1.39659
19.500,1.39924
20.000,1.39181
20.500,1.37945
21.000,1.36836
21.500,1.36316
22.000,1.36500
22.500,1.37109
23.000,1.37600
23.500,1.37400
24.000,1.36167
24.500,1.33946
25.000,1.31175
25.500,1.28530
26.000,1.26663
26.500,1.25955
27.000,1.26381
27.500,1.27529
28.000,1.28788
28.500,1.29603
29.000,1.29710
29.500,1.29238
30.000,1.28651
30.500,1.28540
31.000,1.29364
31.500,1.31237
32.000,1.33863
32.500,1.36631
33.000,1.38850
33.500,1.40007
34.000,1.39965
34.500,1.39002
35.000,1.37680
35.500,1.36609
36.000,1.36190
36.500,1.36449
37.000,1.37037
37.500,1.37382
38.000,1.36946
38.500,1.35463
39.000,1.33072
39.500,1.30284
40.000,1.27790
40.500,1.26200
41.000,1.25812
41.500,1.26502
42.000,1.27791
42.500,1.29055
43.000,1.29784
43.500,1.29794
44.000,1.29298
44.500,1.28806
45.000,1.28901
45.500,1.29978
46.000,1.32059
46.500,1.34764
47.000,1.37443
47.500,1.39421
48.000,1.40261
48.500,1.39923
49.000,1.38764
49.500,1.37386
50.000,1.36375
50.500,1.36060
51.000,1.36382
51.500,1.36925
52.000,1.37106
52.500,1.36428
53.000,1.34710
53.500,1.32185
54.000,1.29423
54.500,1.27119
55.000,1.25830
55.500,1.25760
56.000,1.26693
56.500,1.28093
57.000,1.29336
57.500,1.29967
58.000,1.29887
58.500,1.29387
59.000,1.29013
59.500,1.29325
60.000,1.30647
60.500,1.32908
61.000,1.35651
61.500,1.38197
62.000,1.39906
62.500,1.40421
63.000,1.39800
63.500,1.38475
64.000,1.37070
64.500,1.36137
65.000,1.35927
65.500,1.36295
66.000,1.36771
66.500,1.36770
67.000,1.35849
67.500,1.33919
68.000,1.31297
68.500,1.28605
69.000,1.26527
69.500,1.25555
70.000,1.25796
70.500,1.26948
71.000,1.28428
71.500,1.29626
72.000,1.30151
72.500,1.29991
73.000,1.29508
73.500,1.29272
74.000,1.29811
74.500,1.31365
75.000,1.33774
75.500,1.36510
76.000,1.38883
76.500,1.40298
77.000,1.40487
77.500,1.39601
78.000,1.38140
78.500,1.36738
79.000,1.35898
79.500,1.35789
80.000,1.36186
80.500,1.36573
81.000,1.36374
81.500,1.35215
82.000,1.33097
82.500,1.30420
83.000,1.27841
83.500,1.26021
84.000,1.25377
84.500,1.25919
85.000,1.22970
85.500,1.20209
86.000,1.17049
86.500,1.13173
87.000,1.08656
87.500,1.03922
88.000,0.99554
88.500,0.96031
89.000,0.93511
89.500,0.91740
90.000,0.90137
90.500,0.88009
91.000,0.84820
91.500,0.80394
92.000,0.74977
92.500,0.69122
93.000,0.63458
93.500,0.58433
94.000,0.54130
94.500,0.50246
95.000,0.46231
95.500,0.41535
96.000,0.35856
96.500,0.29290
97.000,0.22309
97.500,0.15593
98.000,0.09769
98.500,0.05168
99.000,0.01702
99.500,0.00000
100.000,0.00000
