Record_ID,Time_min,Temperature_C,HeatFlow_mW
1,0.000,20.000,-0.016895
2,0.100,21.000,-0.016810
3,0.200,22.000,-0.016726
4,0.300,23.000,-0.016643
5,0.400,24.000,-0.016560
6,0.500,25.000,-0.016478
7,0.600,26.000,-0.016395
8,0.700,27.000,-0.016312
9,0.800,28.000,-0.016229
10,0.900,29.000,-0.016145
11,1.000,30.000,-0.016059
12,1.100,31.000,-0.015973
13,1.200,32.000,-0.015885
14,1.300,33.000,-0.015795
15,1.400,34.000,-0.015704
16,1.500,35.000,-0.015610
17,1.600,36.000,-0.015515
18,1.700,37.000,-0.015418
19,1.800,38.000,-0.015318
20,1.900,39.000,-0.015216
21,2.000,40.000,-0.015112
22,2.100,41.000,-0.015005
23,2.200,42.000,-0.014896
24,2.300,43.000,-0.014785
25,2.400,44.000,-0.014671
26,2.500,45.000,-0.014556
27,2.600,46.000,-0.014438
28,2.700,47.000,-0.014318
29,2.800,48.000,-0.014197
30,2.900,49.000,-0.014074
31,3.000,50.000,-0.013949
32,3.100,51.000,-0.013823
33,3.200,52.000,-0.013696
34,3.300,53.000,-0.013569
35,3.400,54.000,-0.013440
36,3.500,55.000,-0.013311
37,3.600,56.000,-0.013183
38,3.700,57.000,-0.013054
39,3.800,58.000,-0.012926
40,3.900,59.000,-0.012798
41,4.000,60.000,-0.012672
42,4.100,61.000,-0.012547
43,4.200,62.000,-0.012423
44,4.300,63.000,-0.012302
45,4.400,64.000,-0.012183
46,4.500,65.000,-0.012066
47,4.600,66.000,-0.011952
48,4.700,67.000,-0.011841
49,4.800,68.000,-0.011734
50,4.900,69.000,-0.011630
51,5.000,70.000,-0.011530
52,5.100,71.000,-0.011434
53,5.200,72.000,-0.011342
54,5.300,73.000,-0.011254
55,5.400,74.000,-0.011172
56,5.500,75.000,-0.011093
57,5.600,76.000,-0.011020
58,5.700,77.000,-0.010952
59,5.800,78.000,-0.010888
60,5.900,79.000,-0.010830
61,6.000,80.000,-0.010777
62,6.100,81.000,-0.010729
63,6.200,82.000,-0.010686
64,6.300,83.000,-0.010648
65,6.400,84.000,-0.010615
66,6.500,85.000,-0.010587
67,6.600,86.000,-0.010563
68,6.700,87.000,-0.010544
69,6.800,88.000,-0.010530
70,6.900,89.000,-0.010520
71,7.000,90.000,-0.010513
72,7.100,91.000,-0.010511
73,7.200,92.000,-0.010512
74,7.300,93.000,-0.010516
75,7.400,94.000,-0.010524
76,7.500,95.000,-0.010533
77,7.600,96.000,-0.010546
78,7.700,97.000,-0.010560
79,7.800,98.000,-0.010575
80,7.900,99.000,-0.010592
81,8.000,100.000,-0.010610
82,8.100,101.000,-0.010628
83,8.200,102.000,-0.010647
84,8.300,103.000,-0.010665
85,8.400,104.000,-0.010683
86,8.500,105.000,-0.010699
87,8.600,106.000,-0.010715
88,8.700,107.000,-0.010728
89,8.800,108.000,-0.010740
90,8.900,109.000,-0.010748
91,9.000,110.000,-0.010755
92,9.100,111.000,-0.010758
93,9.200,112.000,-0.010757
94,9.300,113.000,-0.010753
95,9.400,114.000,-0.010745
96,9.500,115.000,-0.010733
97,9.600,116.000,-0.010716
98,9.700,117.000,-0.010695
99,9.800,118.000,-0.010669
100,9.900,119.000,-0.010637
101,10.000,120.000,-0.010601
102,10.100,121.000,-0.010559
103,10.200,122.000,-0.010512
104,10.300,123.000,-0.010459
105,10.400,124.000,-0.010401
106,10.500,125.000,-0.010337
107,10.600,126.000,-0.010268
108,10.700,127.000,-0.010193
109,10.800,128.000,-0.010113
110,10.900,129.000,-0.010027
111,11.000,130.000,-0.009936
112,11.100,131.000,-0.009840
113,11.200,132.000,-0.009739
114,11.300,133.000,-0.009634
115,11.400,134.000,-0.009524
116,11.500,135.000,-0.009409
117,11.600,136.000,-0.009290
118,11.700,137.000,-0.009168
119,11.800,138.000,-0.009042
120,11.900,139.000,-0.008912
121,12.000,140.000,-0.008780
122,12.100,141.000,-0.008644
123,12.200,142.000,-0.008507
124,12.300,143.000,-0.008367
125,12.400,144.000,-0.008225
126,12.500,145.000,-0.008081
127,12.600,146.000,-0.007937
128,12.700,147.000,-0.007791
129,12.800,148.000,-0.007645
130,12.900,149.000,-0.007499
131,13.000,150.000,-0.007353
132,13.100,151.000,-0.007207
133,13.200,152.000,-0.007061
134,13.300,153.000,-0.006916
135,13.400,154.000,-0.006773
136,13.500,155.000,-0.006630
137,13.600,156.000,-0.006489
138,13.700,157.000,-0.006350
139,13.800,158.000,-0.006213
140,13.900,159.000,-0.006078
141,14.000,160.000,-0.005945
142,14.100,161.000,-0.005814
143,14.200,162.000,-0.005686
144,14.300,163.000,-0.005560
145,14.400,164.000,-0.005437
146,14.500,165.000,-0.005316
147,14.600,166.000,-0.005198
148,14.700,167.000,-0.005083
149,14.800,168.000,-0.004970
150,14.900,169.000,-0.004859
151,15.000,170.000,-0.004751
152,15.100,171.000,-0.004645
153,15.200,172.000,-0.004541
154,15.300,173.000,-0.004440
155,15.400,174.000,-0.004340
156,15.500,175.000,-0.004241
157,15.600,176.000,-0.004145
158,15.700,177.000,-0.004049
159,15.800,178.000,-0.003955
160,15.900,179.000,-0.003861
161,16.000,180.000,-0.003768
162,16.100,181.000,-0.003675
163,16.200,182.000,-0.003583
164,16.300,183.000,-0.003490
165,16.400,184.000,-0.003396
166,16.500,185.000,-0.003302
167,16.600,186.000,-0.003207
168,16.700,187.000,-0.003111
169,16.800,188.000,-0.003014
170,16.900,189.000,-0.002914
171,17.000,190.000,-0.002813
172,17.100,191.000,-0.002709
173,17.200,192.000,-0.002603
174,17.300,193.000,-0.002495
175,17.400,194.000,-0.002383
176,17.500,195.000,-0.002269
177,17.600,196.000,-0.002151
178,17.700,197.000,-0.002031
179,17.800,198.000,-0.001907
180,17.900,199.000,-0.001779
181,18.000,200.000,-0.001648
182,18.100,201.000,-0.001513
183,18.200,202.000,-0.001374
184,18.300,203.000,-0.001232
185,18.400,204.000,-0.001087
186,18.500,205.000,-0.000937
187,18.600,206.000,-0.000784
188,18.700,207.000,-0.000628
189,18.800,208.000,-0.000469
190,18.900,209.000,-0.000306
191,19.000,210.000,-0.000140
192,19.100,211.000,0.000029
193,19.200,212.000,0.000200
194,19.300,213.000,0.000374
195,19.400,214.000,0.000550
196,19.500,215.000,0.000728
197,19.600,216.000,0.000907
198,19.700,217.000,0.001088
199,19.800,218.000,0.001270
200,19.900,219.000,0.001453
201,20.000,220.000,0.001636
202,20.100,221.000,0.001819
203,20.200,222.000,0.002002
204,20.300,223.000,0.002184
205,20.400,224.000,0.002366
206,20.500,225.000,0.002546
207,20.600,226.000,0.002724
208,20.700,227.000,0.002900
209,20.800,228.000,0.003074
210,20.900,229.000,0.003246
211,21.000,230.000,0.003414
212,21.100,231.000,0.003579
213,21.200,232.000,0.003740
214,21.300,233.000,0.003897
215,21.400,234.000,0.004050
216,21.500,235.000,0.004199
217,21.600,236.000,0.004342
218,21.700,237.000,0.004481
219,21.800,238.000,0.004615
220,21.900,239.000,0.004743
221,22.000,240.000,0.004865
222,22.100,241.000,0.004982
223,22.200,242.000,0.005093
224,22.300,243.000,0.005198
225,22.400,244.000,0.005297
226,22.500,245.000,0.005391
227,22.600,246.000,0.005478
228,22.700,247.000,0.005559
229,22.800,248.000,0.005634
230,22.900,249.000,0.005704
231,23.000,250.000,0.005767
232,23.100,251.000,0.005825
233,23.200,252.000,0.005877
234,23.300,253.000,0.005924
235,23.400,254.000,0.005966
236,23.500,255.000,0.006003
237,23.600,256.000,0.006035
238,23.700,257.000,0.006063
239,23.800,258.000,0.006086
240,23.900,259.000,0.006106
241,24.000,260.000,0.006122
242,24.100,261.000,0.006134
243,24.200,262.000,0.006144
244,24.300,263.000,0.006151
245,24.400,264.000,0.006155
246,24.500,265.000,0.006158
247,24.600,266.000,0.006159
248,24.700,267.000,0.006159
249,24.800,268.000,0.006158
250,24.900,269.000,0.006157
251,25.000,270.000,0.006155
252,25.100,271.000,0.006154
253,25.200,272.000,0.006153
254,25.300,273.000,0.006153
255,25.400,274.000,0.006154
256,25.500,275.000,0.006157
257,25.600,276.000,0.006161
258,25.700,277.000,0.006168
259,25.800,278.000,0.006176
260,25.900,279.000,0.006188
261,26.000,280.000,0.006202
262,26.100,281.000,0.006219
263,26.200,282.000,0.006239
264,26.300,283.000,0.006263
265,26.400,284.000,0.006290
266,26.500,285.000,0.006321
267,26.600,286.000,0.006356
268,26.700,287.000,0.006394
269,26.800,288.000,0.006436
270,26.900,289.000,0.006482
271,27.000,290.000,0.006532
272,27.100,291.000,0.006586
273,27.200,292.000,0.006643
274,27.300,293.000,0.006704
275,27.400,294.000,0.006769
276,27.500,295.000,0.006837
277,27.600,296.000,0.006908
278,27.700,297.000,0.006983
279,27.800,298.000,0.007060
280,27.900,299.000,0.007141
281,28.000,300.000,0.007224
