Record_ID,RetentionTime_min,RI_mV
1,0.000,0.738000
2,0.020,0.742234
3,0.040,0.745287
4,0.060,0.747214
5,0.080,0.748140
6,0.100,0.748245
7,0.120,0.747750
8,0.140,0.746905
9,0.160,0.745960
10,0.180,0.745159
11,0.200,0.744712
12,0.220,0.744786
13,0.240,0.745489
14,0.260,0.746863
15,0.280,0.748882
16,0.300,0.751449
17,0.320,0.754407
18,0.340,0.757544
19,0.360,0.760610
20,0.380,0.763333
21,0.400,0.765439
22,0.420,0.766668
23,0.440,0.766794
24,0.460,0.765641
25,0.480,0.763096
26,0.500,0.759120
27,0.520,0.753752
28,0.540,0.747107
29,0.560,0.739375
30,0.580,0.730808
31,0.600,0.721708
32,0.620,0.712412
33,0.640,0.703269
34,0.660,0.694625
35,0.680,0.686801
36,0.700,0.680073
37,0.720,0.674661
38,0.740,0.670715
39,0.760,0.668307
40,0.780,0.667429
41,0.800,0.667997
42,0.820,0.669856
43,0.840,0.672792
44,0.860,0.676548
45,0.880,0.680839
46,0.900,0.685374
47,0.920,0.689873
48,0.940,0.694086
49,0.960,0.697809
50,0.980,0.700893
51,1.000,0.703260
52,1.020,0.704898
53,1.040,0.705867
54,1.060,0.706290
55,1.080,0.706344
56,1.100,0.706244
57,1.120,0.706231
58,1.140,0.706551
59,1.160,0.707435
60,1.180,0.709084
61,1.200,0.711652
62,1.220,0.715233
63,1.240,0.719851
64,1.260,0.725458
65,1.280,0.731931
66,1.300,0.739083
67,1.320,0.746664
68,1.340,0.754382
69,1.360,0.761917
70,1.380,0.768941
71,1.400,0.775133
72,1.420,0.780206
73,1.440,0.783916
74,1.460,0.786085
75,1.480,0.786604
76,1.500,0.785447
77,1.520,0.782667
78,1.540,0.778396
79,1.560,0.772836
80,1.580,0.766246
81,1.600,0.758930
82,1.620,0.751215
83,1.640,0.743430
84,1.660,0.735895
85,1.680,0.728892
86,1.700,0.722656
87,1.720,0.717361
88,1.740,0.713109
89,1.760,0.709930
90,1.780,0.707779
91,1.800,0.706546
92,1.820,0.706061
93,1.840,0.706113
94,1.860,0.706463
95,1.880,0.706864
96,1.900,0.707078
97,1.920,0.706897
98,1.940,0.706154
99,1.960,0.704742
100,1.980,0.702615
101,2.000,0.699801
102,2.020,0.696395
103,2.040,0.692558
104,2.060,0.688505
105,2.080,0.684493
106,2.100,0.680801
107,2.120,0.677719
108,2.140,0.675520
109,2.160,0.674449
110,2.180,0.674701
111,2.200,0.676409
112,2.220,0.679634
113,2.240,0.684358
114,2.260,0.690486
115,2.280,0.697846
116,2.300,0.706198
117,2.320,0.715251
118,2.340,0.724675
119,2.360,0.734120
120,2.380,0.743237
121,2.400,0.751700
122,2.420,0.759218
123,2.440,0.765555
124,2.460,0.770545
125,2.480,0.774095
126,2.500,0.776190
127,2.520,0.776897
128,2.540,0.776350
129,2.560,0.774750
130,2.580,0.772343
131,2.600,0.769411
132,2.620,0.766251
133,2.640,0.763163
134,2.660,0.760432
135,2.680,0.758321
136,2.700,0.757064
137,2.720,0.756861
138,2.740,0.757893
139,2.760,0.760327
140,2.780,0.764335
141,2.800,0.770116
142,2.820,0.777921
143,2.840,0.788077
144,2.860,0.801000
145,2.880,0.817211
146,2.900,0.837333
147,2.920,0.862071
148,2.940,0.892175
149,2.960,0.928388
150,2.980,0.971373
151,3.000,1.021620
152,3.020,1.079357
153,3.040,1.144454
154,3.060,1.216342
155,3.080,1.293955
156,3.100,1.375709
157,3.120,1.459516
158,3.140,1.542856
159,3.160,1.622887
160,3.180,1.696603
161,3.200,1.761019
162,3.220,1.813370
