Record_ID,Wavenumber_cm-1,Absorbance
1,4000.000,0.004726
2,3998.000,0.004729
3,3996.000,0.004731
4,3994.000,0.004734
5,3992.000,0.004737
6,3990.000,0.004739
7,3988.000,0.004742
8,3986.000,0.004744
9,3984.000,0.004746
10,3982.000,0.004748
11,3980.000,0.004750
12,3978.000,0.004752
13,3976.000,0.004754
14,3974.000,0.004756
15,3972.000,0.004757
16,3970.000,0.004759
17,3968.000,0.004760
18,3966.000,0.004762
19,3964.000,0.004763
20,3962.000,0.004764
21,3960.000,0.004765
22,3958.000,0.004766
23,3956.000,0.004767
24,3954.000,0.004768
25,3952.000,0.004768
26,3950.000,0.004769
27,3948.000,0.004770
28,3946.000,0.004770
29,3944.000,0.004770
30,3942.000,0.004771
31,3940.000,0.004771
32,3938.000,0.004771
33,3936.000,0.004771
34,3934.000,0.004771
35,3932.000,0.004771
36,3930.000,0.004771
37,3928.000,0.004771
38,3926.000,0.004771
39,3924.000,0.004771
40,3922.000,0.004770
41,3920.000,0.004770
42,3918.000,0.004770
43,3916.000,0.004769
44,3914.000,0.004769
45,3912.000,0.004768
46,3910.000,0.004768
47,3908.000,0.004767
48,3906.000,0.004766
49,3904.000,0.004766
50,3902.000,0.004765
51,3900.000,0.004764
52,3898.000,0.004764
53,3896.000,0.004763
54,3894.000,0.004762
55,3892.000,0.004761
56,3890.000,0.004761
57,3888.000,0.004760
58,3886.000,0.004759
59,3884.000,0.004758
60,3882.000,0.004757
61,3880.000,0.004756
62,3878.000,0.004756
63,3876.000,0.004755
64,3874.000,0.004754
65,3872.000,0.004753
66,3870.000,0.004752
67,3868.000,0.004752
68,3866.000,0.004751
69,3864.000,0.004750
70,3862.000,0.004749
71,3860.000,0.004749
72,3858.000,0.004748
73,3856.000,0.004747
74,3854.000,0.004747
75,3852.000,0.004746
76,3850.000,0.004745
77,3848.000,0.004745
78,3846.000,0.004744
79,3844.000,0.004744
80,3842.000,0.004743
81,3840.000,0.004743
82,3838.000,0.004743
83,3836.000,0.004742
84,3834.000,0.004742
85,3832.000,0.004742
86,3830.000,0.004742
87,3828.000,0.004742
88,3826.000,0.004741
89,3824.000,0.004741
90,3822.000,0.004741
91,3820.000,0.004741
92,3818.000,0.004742
93,3816.000,0.004742
94,3814.000,0.004742
95,3812.000,0.004742
96,3810.000,0.004743
97,3808.000,0.004743
98,3806.000,0.004744
99,3804.000,0.004744
100,3802.000,0.004745
101,3800.000,0.004745
102,3798.000,0.004746
103,3796.000,0.004747
104,3794.000,0.004748
105,3792.000,0.004748
106,3790.000,0.004749
107,3788.000,0.004750
108,3786.000,0.004751
109,3784.000,0.004753
110,3782.000,0.004754
111,3780.000,0.004755
112,3778.000,0.004756
113,3776.000,0.004758
114,3774.000,0.004759
115,3772.000,0.004761
