Record_ID,Wavenumber_cm-1,Absorbance
1,4000.000,0.016085
2,3998.000,0.016022
3,3996.000,0.015954
4,3994.000,0.015881
5,3992.000,0.015806
6,3990.000,0.015730
7,3988.000,0.015656
8,3986.000,0.015584
9,3984.000,0.015516
10,3982.000,0.015455
11,3980.000,0.015401
12,3978.000,0.015356
13,3976.000,0.015321
14,3974.000,0.015297
15,3972.000,0.015284
16,3970.000,0.015282
17,3968.000,0.015291
18,3966.000,0.015311
19,3964.000,0.015342
20,3962.000,0.015382
21,3960.000,0.015430
22,3958.000,0.015485
23,3956.000,0.015545
24,3954.000,0.015610
25,3952.000,0.015676
26,3950.000,0.015743
27,3948.000,0.015808
28,3946.000,0.015870
29,3944.000,0.015927
30,3942.000,0.015978
31,3940.000,0.016020
32,3938.000,0.016054
33,3936.000,0.016077
34,3934.000,0.016090
35,3932.000,0.016091
36,3930.000,0.016081
37,3928.000,0.016060
38,3926.000,0.016028
39,3924.000,0.015986
40,3922.000,0.015935
41,3920.000,0.015876
42,3918.000,0.015810
43,3916.000,0.015739
44,3914.000,0.015664
45,3912.000,0.015589
46,3910.000,0.015513
47,3908.000,0.015439
48,3906.000,0.015369
49,3904.000,0.015304
50,3902.000,0.015246
51,3900.000,0.015197
52,3898.000,0.015157
53,3896.000,0.015127
54,3894.000,0.015108
55,3892.000,0.015100
56,3890.000,0.015103
57,3888.000,0.015118
58,3886.000,0.015144
59,3884.000,0.015179
60,3882.000,0.015223
61,3880.000,0.015275
62,3878.000,0.015333
63,3876.000,0.015396
64,3874.000,0.015462
65,3872.000,0.015530
66,3870.000,0.015596
67,3868.000,0.015661
68,3866.000,0.015721
69,3864.000,0.015776
70,3862.000,0.015823
71,3860.000,0.015862
72,3858.000,0.015891
73,3856.000,0.015910
74,3854.000,0.015918
75,3852.000,0.015915
76,3850.000,0.015900
77,3848.000,0.015875
78,3846.000,0.015839
79,3844.000,0.015793
80,3842.000,0.015738
81,3840.000,0.015677
82,3838.000,0.015609
83,3836.000,0.015537
84,3834.000,0.015463
85,3832.000,0.015388
86,3830.000,0.015314
87,3828.000,0.015243
88,3826.000,0.015177
