Record_ID,ParticleDiameter_um,VolumeFrequency_percent
1,0.100000,0.000000
2,0.105925,0.000000
3,0.112202,0.000000
4,0.118850,0.000000
5,0.125893,0.000000
6,0.133352,0.000000
7,0.141254,0.000000
8,0.149624,0.000000
9,0.158489,0.000000
10,0.167880,0.000000
11,0.177828,0.000000
12,0.188365,0.000000
13,0.199526,0.000000
14,0.211349,0.000000
15,0.223872,0.000000
16,0.237137,0.000000
17,0.251189,0.000000
18,0.266073,0.000000
19,0.281838,0.000000
20,0.298538,0.000000
21,0.316228,0.000000
22,0.334965,0.000000
23,0.354813,0.000000
24,0.375837,0.000000
25,0.398107,0.000000
26,0.421697,0.000000
27,0.446684,0.000000
28,0.473151,0.000000
29,0.501187,0.000000
30,0.530884,0.000000
31,0.562341,0.000000
32,0.595662,0.000000
33,0.630957,0.000000
34,0.668344,0.000000
35,0.707946,0.000001
36,0.749894,0.000002
37,0.794328,0.000004
38,0.841395,0.000010
39,0.891251,0.000023
40,0.944061,0.000053
41,1.000000,0.000116
42,1.059254,0.000248
43,1.122018,0.000516
44,1.188502,0.001042
45,1.258925,0.002042
46,1.333521,0.003885
47,1.412538,0.007172
48,1.496236,0.012855
49,1.584893,0.022364
50,1.678804,0.037769
51,1.778279,0.061917
52,1.883649,0.098532
53,1.995262,0.152206
54,2.113489,0.228232
55,2.238721,0.332210
56,2.371374,0.469393
57,2.511886,0.643801
58,2.660725,0.857148
59,2.818383,1.107772
60,2.985383,1.389744
61,3.162278,1.692424
62,3.349654,2.000661
63,3.548134,2.295766
64,3.758374,2.557242
65,3.981072,2.765069
66,4.216965,2.902218
67,4.466836,2.956950
68,4.731513,2.924475
69,5.011872,2.807642
70,5.308844,2.616529
71,5.623413,2.367005
72,5.956621,2.078562
73,6.309573,1.771808
74,6.683439,1.466089
75,7.079458,1.177590
76,7.498942,0.918159
77,7.943282,0.694918
78,8.413951,0.510554
79,8.912509,0.364124
80,9.440609,0.252099
81,10.000000,0.169455
82,10.592537,0.110620
83,11.220185,0.070193
84,11.885022,0.043409
85,12.589254,0.026367
86,13.335214,0.016078
87,14.125375,0.010413
88,14.962357,0.007977
89,15.848932,0.007989
90,16.788040,0.010169
91,17.782794,0.014658
92,18.836491,0.021977
93,19.952623,0.033009
94,21.134890,0.048998
95,22.387211,0.071563
96,23.713737,0.102694
97,25.118864,0.144729
98,26.607251,0.200291
99,28.183829,0.272172
100,29.853826,0.363160
101,31.622777,0.475796
102,33.496544,0.612088
103,35.481339,0.773172
104,37.583740,0.958974
105,39.810717,1.167904
106,42.169650,1.396615
107,44.668359,1.639892
108,47.315126,1.890701
109,50.118723,2.140423
110,53.088444,2.379280
111,56.234133,2.596932
112,59.566214,2.783202
113,63.095734,2.928856
114,66.834392,3.026360
115,70.794578,3.070520
116,74.989421,3.058953
117,79.432823,2.992282
118,84.139514,2.874098
119,89.125094,2.710626
120,94.406088,2.510191
121,100.000000,2.282512
122,105.925373,2.037927
123,112.201845,1.786624
124,118.850223,1.537967
125,125.892541,1.299959
126,133.352143,1.078901
127,141.253754,0.879231
128,149.623566,0.703547
129,158.489319,0.552780
130,167.880402,0.426463
131,177.827941,0.323057
132,188.364909,0.240295
133,199.526231,0.175502
134,211.348904,0.125860
135,223.872114,0.088626
136,237.137371,0.061278
137,251.188643,0.041602
138,266.072506,0.027733
139,281.838293,0.018153
140,298.538262,0.011667
141,316.227766,0.007363
142,334.965439,0.004563
143,354.813389,0.002776
144,375.837404,0.001659
145,398.107171,0.000973
146,421.696503,0.000560
147,446.683592,0.000317
148,473.151259,0.000176
149,501.187234,0.000096
150,530.884444,0.000051
151,562.341325,0.000027
152,595.662144,0.000014
153,630.957344,0.000007
154,668.343918,0.000004
155,707.945784,0.000002
156,749.894209,0.000001
157,794.328235,0.000000
158,841.395142,0.000000
159,891.250938,0.000000
160,944.060876,0.000000
161,1000.000000,0.000000
