Extension_mm,Force_N
0.000,0.00000
0.100,0.05050
0.200,0.10100
0.300,0.16349
0.400,0.21357
0.500,0.26254
0.600,0.31056
0.700,0.35786
0.800,0.40474
0.900,0.45155
1.000,0.49864
1.100,0.54634
1.200,0.59491
1.300,0.64454
1.400,0.69531
1.500,0.74719
1.600,0.80006
1.700,0.85368
1.800,0.90776
1.900,0.96196
2.000,1.01593
2.100,1.06933
2.200,1.12189
2.300,1.17341
2.400,1.22379
2.500,1.27305
2.600,1.32131
2.700,1.36877
2.800,1.41573
2.900,1.46253
3.000,1.50951
3.100,1.55702
3.200,1.60533
3.300,1.65466
3.400,1.70512
3.500,1.75672
3.600,1.76839
3.700,1.76334
3.800,1.75883
3.900,1.75453
4.000,1.75009
4.100,1.74517
4.200,1.73948
4.300,1.73279
4.400,1.72499
4.500,1.71604
4.600,1.70605
4.700,1.69520
4.800,1.68376
4.900,1.67207
5.000,1.67209
5.100,1.67752
5.200,1.68370
5.300,1.69084
5.400,1.69909
5.500,1.70849
5.600,1.71895
5.700,1.73030
5.800,1.74227
5.900,1.75456
6.000,1.76679
6.100,1.77863
6.200,1.78977
6.300,1.79997
6.400,1.80907
6.500,1.81702
6.600,1.82390
6.700,1.82985
6.800,1.83514
6.900,1.84008
7.000,1.84502
7.100,1.85031
7.200,1.85626
7.300,1.86313
7.400,1.87107
7.500,1.88016
7.600,1.89035
7.700,1.90149
7.800,1.91332
7.900,1.92556
8.000,1.93784
8.100,1.94982
8.200,1.96117
8.300,1.97164
8.400,1.98105
8.500,1.98931
8.600,1.99646
8.700,2.00264
8.800,2.00808
8.900,2.01308
9.000,2.01798
9.100,2.02315
9.200,2.02889
9.300,2.03549
9.400,2.04314
9.500,2.05192
9.600,2.06183
9.700,2.07273
9.800,2.08440
9.900,2.09656
10.000,2.10887
10.100,2.12096
10.200,2.13251
10.300,2.14324
10.400,2.15294
10.500,2.16151
10.600,2.16895
10.700,2.17537
10.800,2.18098
10.900,2.18607
11.000,2.19097
11.100,2.19602
11.200,2.20158
11.300,2.20793
11.400,2.21528
11.500,2.22376
11.600,2.23337
11.700,2.24402
11.800,2.25552
11.900,2.26758
12.000,2.27988
12.100,2.29206
12.200,2.30379
12.300,2.31476
12.400,2.32475
12.500,2.33363
12.600,2.34137
12.700,2.34805
12.800,2.35385
12.900,2.35905
13.000,2.36396
13.100,2.36894
13.200,2.37433
13.300,2.38044
13.400,2.38751
13.500,2.39568
13.600,2.40499
13.700,2.41538
13.800,2.42667
13.900,2.43861
14.000,2.45088
14.100,2.46313
14.200,2.47501
14.300,2.48621
14.400,2.49649
14.500,2.50567
14.600,2.51371
14.700,2.52066
14.800,2.52667
14.900,2.50701
15.000,2.47156
15.100,2.43108
15.200,2.38743
15.300,2.34164
15.400,2.29444
15.500,2.24630
15.600,2.19752
15.700,2.14824
15.800,2.09845
15.900,2.04804
16.000,1.99678
16.100,1.94443
16.200,1.89069
16.300,1.83531
16.400,1.77806
16.500,1.71881
16.600,1.65752
16.700,1.59426
16.800,1.52917
16.900,1.46253
17.000,1.39466
17.100,1.32593
17.200,1.25670
17.300,1.18735
17.400,1.11816
17.500,1.04935
17.600,0.98104
17.700,0.91324
17.800,0.84585
17.900,0.77866
18.000,0.71141
18.100,0.64377
18.200,0.57540
18.300,0.50597
18.400,0.06400
18.500,0.06000
18.600,0.05600
18.700,0.05200
18.800,0.04800
18.900,0.04400
19.000,0.04000
19.100,0.03600
19.200,0.03200
19.300,0.02800
19.400,0.02400
19.500,0.02000
19.600,0.01600
19.700,0.01200
19.800,0.00800
19.900,0.00400
20.000,0.00000
