Record_ID,Time_min,Temperature_C,Mass_mg
1,0.0,25,10.0000
2,0.1,26,10.0000
3,0.2,27,10.0000
4,0.3,28,10.0000
5,0.4,29,10.0000
6,0.5,30,10.0000
7,0.6,31,10.0000
8,0.7,32,10.0000
9,0.8,33,10.0000
10,0.9,34,9.9999
11,1.0,35,9.9999
12,1.1,36,9.9999
13,1.2,37,9.9999
14,1.3,38,9.9999
15,1.4,39,9.9999
16,1.5,40,9.9999
17,1.6,41,9.9998
18,1.7,42,9.9998
19,1.8,43,9.9998
20,1.9,44,9.9997
21,2.0,45,9.9997
22,2.1,46,9.9997
23,2.2,47,9.9996
24,2.3,48,9.9996
25,2.4,49,9.9995
26,2.5,50,9.9994
27,2.6,51,9.9993
28,2.7,52,9.9992
29,2.8,53,9.9991
30,2.9,54,9.9990
31,3.0,55,9.9989
32,3.1,56,9.9987
33,3.2,57,9.9986
34,3.3,58,9.9984
35,3.4,59,9.9982
36,3.5,60,9.9979
37,3.6,61,9.9976
38,3.7,62,9.9973
39,3.8,63,9.9970
40,3.9,64,9.9966
41,4.0,65,9.9961
42,4.1,66,9.9956
43,4.2,67,9.9950
44,4.3,68,9.9944
45,4.4,69,9.9937
46,4.5,70,9.9929
47,4.6,71,9.9920
48,4.7,72,9.9909
49,4.8,73,9.9898
50,4.9,74,9.9885
51,5.0,75,9.9871
52,5.1,76,9.9856
53,5.2,77,9.9838
54,5.3,78,9.9819
55,5.4,79,9.9798
56,5.5,80,9.9774
57,5.6,81,9.9749
58,5.7,82,9.9721
59,5.8,83,9.9690
60,5.9,84,9.9657
61,6.0,85,9.9622
62,6.1,86,9.9584
63,6.2,87,9.9543
64,6.3,88,9.9500
65,6.4,89,9.9455
66,6.5,90,9.9408
67,6.6,91,9.9358
68,6.7,92,9.9308
69,6.8,93,9.9256
70,6.9,94,9.9203
71,7.0,95,9.9150
72,7.1,96,9.9097
73,7.2,97,9.9045
74,7.3,98,9.8993
75,7.4,99,9.8942
76,7.5,100,9.8893
77,7.6,101,9.8846
78,7.7,102,9.8800
79,7.8,103,9.8757
80,7.9,104,9.8717
81,8.0,105,9.8679
82,8.1,106,9.8643
83,8.2,107,9.8610
84,8.3,108,9.8580
85,8.4,109,9.8552
86,8.5,110,9.8526
87,8.6,111,9.8503
88,8.7,112,9.8482
89,8.8,113,9.8462
90,8.9,114,9.8445
91,9.0,115,9.8429
