Record_ID,Time_min,Temperature_C,Mass_mg
1,0.0,25,9.2310
2,0.1,26,9.2312
3,0.2,27,9.2314
4,0.3,28,9.2315
5,0.4,29,9.2315
6,0.5,30,9.2315
7,0.6,31,9.2314
8,0.7,32,9.2314
9,0.8,33,9.2313
10,0.9,34,9.2312
11,1.0,35,9.2312
12,1.1,36,9.2313
13,1.2,37,9.2314
14,1.3,38,9.2315
15,1.4,39,9.2316
16,1.5,40,9.2317
17,1.6,41,9.2317
18,1.7,42,9.2316
19,1.8,43,9.2315
20,1.9,44,9.2313
21,2.0,45,9.2311
22,2.1,46,9.2309
23,2.2,47,9.2308
24,2.3,48,9.2306
25,2.4,49,9.2305
26,2.5,50,9.2305
27,2.6,51,9.2305
28,2.7,52,9.2305
29,2.8,53,9.2305
30,2.9,54,9.2304
31,3.0,55,9.2302
32,3.1,56,9.2300
33,3.2,57,9.2297
34,3.3,58,9.2294
35,3.4,59,9.2291
36,3.5,60,9.2288
37,3.6,61,9.2285
38,3.7,62,9.2282
39,3.8,63,9.2280
40,3.9,64,9.2278
41,4.0,65,9.2275
42,4.1,66,9.2272
43,4.2,67,9.2268
44,4.3,68,9.2263
45,4.4,69,9.2257
46,4.5,70,9.2249
47,4.6,71,9.2240
48,4.7,72,9.2230
49,4.8,73,9.2219
50,4.9,74,9.2207
51,5.0,75,9.2195
52,5.1,76,9.2182
53,5.2,77,9.2167
54,5.3,78,9.2151
55,5.4,79,9.2134
56,5.5,80,9.2115
57,5.6,81,9.2093
58,5.7,82,9.2069
59,5.8,83,9.2043
60,5.9,84,9.2015
61,6.0,85,9.1987
62,6.1,86,9.1957
63,6.2,87,9.1927
64,6.3,88,9.1898
65,6.4,89,9.1868
66,6.5,90,9.1840
67,6.6,91,9.1812
68,6.7,92,9.1786
69,6.8,93,9.1759
70,6.9,94,9.1734
71,7.0,95,9.1709
72,7.1,96,9.1685
73,7.2,97,9.1662
74,7.3,98,9.1641
75,7.4,99,9.1622
76,7.5,100,9.1604
77,7.6,101,9.1589
78,7.7,102,9.1575
79,7.8,103,9.1564
80,7.9,104,9.1554
81,8.0,105,9.1545
82,8.1,106,9.1537
83,8.2,107,9.1530
84,8.3,108,9.1523
85,8.4,109,9.1516
86,8.5,110,9.1510
87,8.6,111,9.1504
88,8.7,112,9.1498
89,8.8,113,9.1494
90,8.9,114,9.1491
91,9.0,115,9.1489
92,9.1,116,9.1487
93,9.2,117,9.1487
94,9.3,118,9.1487
95,9.4,119,9.1487
96,9.5,120,9.1487
97,9.6,121,9.1486
98,9.7,122,9.1485
99,9.8,123,9.1484
100,9.9,124,9.1482
101,10.0,125,9.1481
102,10.1,126,9.1480
103,10.2,127,9.1480
104,10.3,128,9.1481
105,10.4,129,9.1482
106,10.5,130,9.1483
107,10.6,131,9.1485
108,10.7,132,9.1486
109,10.8,133,9.1487
110,10.9,134,9.1488
111,11.0,135,9.1487
112,11.1,136,9.1487
113,11.2,137,9.1485
114,11.3,138,9.1484
115,11.4,139,9.1483
116,11.5,140,9.1483
117,11.6,141,9.1483
118,11.7,142,9.1483
119,11.8,143,9.1484
120,11.9,144,9.1485
121,12.0,145,9.1485
122,12.1,146,9.1486
123,12.2,147,9.1485
124,12.3,148,9.1484
125,12.4,149,9.1483
126,12.5,150,9.1481
127,12.6,151,9.1479
128,12.7,152,9.1477
129,12.8,153,9.1476
130,12.9,154,9.1475
131,13.0,155,9.1475
132,13.1,156,9.1476
133,13.2,157,9.1476
134,13.3,158,9.1477
135,13.4,159,9.1477
136,13.5,160,9.1477
137,13.6,161,9.1477
138,13.7,162,9.1476
139,13.8,163,9.1474
140,13.9,164,9.1473
141,14.0,165,9.1472
142,14.1,166,9.1471
143,14.2,167,9.1471
144,14.3,168,9.1472
145,14.4,169,9.1474
146,14.5,170,9.1475
147,14.6,171,9.1477
148,14.7,172,9.1478
149,14.8,173,9.1479
150,14.9,174,9.1480
151,15.0,175,9.1480
152,15.1,176,9.1479
153,15.2,177,9.1479
154,15.3,178,9.1478
155,15.4,179,9.1478
156,15.5,180,9.1479
157,15.6,181,9.1480
158,15.7,182,9.1481
159,15.8,183,9.1483
160,15.9,184,9.1485
161,16.0,185,9.1486
162,16.1,186,9.1487
163,16.2,187,9.1487
164,16.3,188,9.1487
165,16.4,189,9.1486
166,16.5,190,9.1484
167,16.6,191,9.1483
168,16.7,192,9.1482
169,16.8,193,9.1482
