Time_min,Temperature_C
0.000,22.0350
0.100,22.0348
0.200,22.0343
0.300,22.0336
0.400,22.0327
0.500,22.0315
0.600,22.0301
0.700,22.0285
0.800,22.0267
0.900,22.0248
1.000,22.0226
1.100,22.0203
1.200,22.0178
1.300,22.0152
1.400,22.0125
1.500,22.0097
1.600,22.0069
1.700,22.0040
1.800,22.0010
1.900,21.9981
2.000,21.9952
2.100,21.9923
2.200,21.9894
2.300,21.9867
2.400,21.9840
2.500,21.9815
2.600,21.9790
2.700,21.9768
2.800,21.9746
2.900,21.9727
3.000,21.9710
3.100,21.9694
3.200,21.9681
3.300,21.9670
3.400,21.9661
3.500,21.9655
3.600,21.9651
3.700,21.9650
3.800,21.9651
3.900,21.9655
4.000,21.9661
4.100,21.9669
4.200,21.9680
4.300,21.9693
4.400,21.9708
4.500,21.9725
4.600,21.9744
4.700,21.9765
4.800,21.9788
4.900,21.9812
5.000,21.9837
5.100,21.9864
5.200,21.9892
5.300,21.9920
5.400,21.9949
5.500,21.9978
5.600,22.0007
5.700,22.0037
5.800,22.0066
5.900,22.0094
6.000,22.0122
6.100,22.0149
6.200,22.0175
6.300,22.0200
6.400,22.0224
6.500,22.0245
6.600,22.0265
6.700,22.0284
6.800,22.0300
6.900,22.0314
7.000,22.0326
7.100,22.0335
7.200,22.0343
7.300,22.0347
7.400,22.0350
7.500,22.0350
7.600,22.0347
7.700,22.0342
7.800,22.0335
7.900,22.0325
8.000,22.0313
8.100,22.0298
8.200,22.0282
8.300,22.0264
8.400,22.0243
8.500,22.0221
8.600,22.0198
8.700,22.0173
8.800,22.0147
8.900,22.0120
9.000,22.0092
9.100,22.0063
9.200,22.0034
9.300,22.0004
9.400,21.9975
9.500,21.9946
9.600,21.9917
9.700,21.9889
9.800,21.9861
9.900,21.9835
10.000,21.9810
10.100,21.9786
10.200,21.9763
10.300,21.9742
10.400,21.9723
10.500,21.9706
10.600,21.9692
10.700,21.9679
10.800,21.9668
10.900,21.9660
11.000,21.9655
11.100,21.9651
11.200,21.9651
11.300,21.9653
11.400,21.9657
11.500,21.9664
11.600,21.9674
11.700,21.9686
11.800,21.9701
11.900,21.9718
12.000,21.9738
12.100,21.9761
12.200,21.9786
12.300,21.9815
12.400,21.9847
12.500,21.9882
12.600,21.9922
12.700,21.9967
12.800,22.0017
12.900,22.0074
13.000,22.0139
13.100,22.0214
13.200,22.0302
13.300,22.0404
13.400,22.0525
13.500,22.0669
13.600,22.0839
13.700,22.1043
13.800,22.1287
13.900,22.1580
14.000,22.1930
14.100,22.2348
14.200,22.2847
14.300,22.3442
14.400,22.4147
14.500,22.4981
14.600,22.5964
14.700,22.7117
14.800,22.8464
14.900,23.0031
15.000,23.1844
15.100,23.3931
15.200,23.6324
15.300,23.9051
15.400,24.2144
15.500,24.5632
15.600,24.9546
15.700,25.3913
15.800,25.8758
15.900,26.4104
16.000,26.9968
16.100,27.6362
16.200,28.3293
16.300,29.0760
16.400,29.8755
16.500,30.7261
16.600,31.6250
16.700,32.5687
16.800,33.5525
16.900,34.5708
