Record_ID,Wavelength_nm,Absorbance
1,200.000,0.454150
2,201.000,0.503784
3,202.000,0.557338
4,203.000,0.614520
5,204.000,0.674922
6,205.000,0.738016
7,206.000,0.803156
8,207.000,0.869585
9,208.000,0.936443
10,209.000,1.002785
11,210.000,1.067599
12,211.000,1.129833
13,212.000,1.188416
14,213.000,1.242294
15,214.000,1.290458
16,215.000,1.331974
17,216.000,1.366014
18,217.000,1.391881
19,218.000,1.409036
20,219.000,1.417113
21,220.000,1.415931
22,221.000,1.405503
23,222.000,1.386036
24,223.000,1.357920
25,224.000,1.321719
26,225.000,1.278150
27,226.000,1.228061
28,227.000,1.172402
29,228.000,1.112195
30,229.000,1.048508
31,230.000,0.982417
32,231.000,0.914983
33,232.000,0.847223
34,233.000,0.780087
35,234.000,0.714438
36,235.000,0.651039
37,236.000,0.590541
38,237.000,0.533480
39,238.000,0.480272
40,239.000,0.431222
41,240.000,0.386524
42,241.000,0.346275
43,242.000,0.310482
44,243.000,0.279078
45,244.000,0.251933
46,245.000,0.228867
47,246.000,0.209664
48,247.000,0.194082
49,248.000,0.181864
50,249.000,0.172745
51,250.000,0.166465
52,251.000,0.162768
53,252.000,0.161410
54,253.000,0.162159
55,254.000,0.164800
56,255.000,0.169134
57,256.000,0.174974
58,257.000,0.182151
59,258.000,0.190503
60,259.000,0.199883
61,260.000,0.210149
62,261.000,0.221167
63,262.000,0.232805
64,263.000,0.244936
65,264.000,0.257432
66,265.000,0.270167
67,266.000,0.283014
68,267.000,0.295844
69,268.000,0.308529
70,269.000,0.320941
71,270.000,0.332953
72,271.000,0.344438
73,272.000,0.355273
74,273.000,0.365341
75,274.000,0.374529
76,275.000,0.382734
77,276.000,0.389860
78,277.000,0.395823
79,278.000,0.400552
80,279.000,0.403988
81,280.000,0.406089
82,281.000,0.406825
83,282.000,0.406185
84,283.000,0.404172
85,284.000,0.400806
86,285.000,0.396123
87,286.000,0.390173
88,287.000,0.383020
89,288.000,0.374741
90,289.000,0.365426
91,290.000,0.355171
92,291.000,0.344083
93,292.000,0.332274
94,293.000,0.319860
95,294.000,0.306959
96,295.000,0.293689
97,296.000,0.280167
98,297.000,0.266507
99,298.000,0.252818
100,299.000,0.239203
101,300.000,0.225756
102,301.000,0.212564
103,302.000,0.199706
104,303.000,0.187250
105,304.000,0.175255
106,305.000,0.163769
107,306.000,0.152832
108,307.000,0.142472
109,308.000,0.132710
110,309.000,0.123558
111,310.000,0.115020
112,311.000,0.107093
113,312.000,0.099768
114,313.000,0.093030
115,314.000,0.086860
116,315.000,0.081235
117,316.000,0.076129
118,317.000,0.071514
119,318.000,0.067360
120,319.000,0.063638
121,320.000,0.060315
122,321.000,0.057362
123,322.000,0.054748
124,323.000,0.052445
125,324.000,0.050423
126,325.000,0.048656
127,326.000,0.047120
128,327.000,0.045790
129,328.000,0.044644
130,329.000,0.043661
131,330.000,0.042823
132,331.000,0.042113
133,332.000,0.041513
134,333.000,0.041009
135,334.000,0.040588
136,335.000,0.040237
137,336.000,0.039945
138,337.000,0.039702
139,338.000,0.039498
140,339.000,0.039324
141,340.000,0.039173
142,341.000,0.039037
143,342.000,0.038911
144,343.000,0.038787
145,344.000,0.038662
146,345.000,0.038529
147,346.000,0.038387
148,347.000,0.038230
149,348.000,0.038057
150,349.000,0.037864
151,350.000,0.037651
152,351.000,0.037417
153,352.000,0.037161
154,353.000,0.036884
155,354.000,0.036585
156,355.000,0.036267
157,356.000,0.035931
158,357.000,0.035579
159,358.000,0.035215
160,359.000,0.034841
161,360.000,0.034460
162,361.000,0.034076
163,362.000,0.033693
164,363.000,0.033315
165,364.000,0.032946
166,365.000,0.032589
167,366.000,0.032250
168,367.000,0.031930
169,368.000,0.031635
170,369.000,0.031367
171,370.000,0.031129
172,371.000,0.030923
173,372.000,0.030751
174,373.000,0.030616
175,374.000,0.030518
176,375.000,0.030457
177,376.000,0.030433
178,377.000,0.030447
179,378.000,0.030496
180,379.000,0.030579
181,380.000,0.030694
182,381.000,0.030839
183,382.000,0.031010
184,383.000,0.031204
185,384.000,0.031418
186,385.000,0.031647
187,386.000,0.031888
188,387.000,0.032137
189,388.000,0.032389
190,389.000,0.032641
191,390.000,0.032888
192,391.000,0.033127
193,392.000,0.033355
194,393.000,0.033567
195,394.000,0.033762
196,395.000,0.033936
197,396.000,0.034088
198,397.000,0.034216
199,398.000,0.034319
200,399.000,0.034396
201,400.000,0.034447
202,401.000,0.034473
203,402.000,0.034474
204,403.000,0.034451
205,404.000,0.034405
206,405.000,0.034340
207,406.000,0.034256
208,407.000,0.034157
209,408.000,0.034044
210,409.000,0.033921
211,410.000,0.033790
212,411.000,0.033653
213,412.000,0.033514
214,413.000,0.033375
215,414.000,0.033239
216,415.000,0.033106
217,416.000,0.032980
218,417.000,0.032862
219,418.000,0.032753
220,419.000,0.032654
221,420.000,0.032565
222,421.000,0.032487
223,422.000,0.032418
224,423.000,0.032360
225,424.000,0.032310
226,425.000,0.032267
227,426.000,0.032230
228,427.000,0.032197
229,428.000,0.032166
230,429.000,0.032136
231,430.000,0.032103
232,431.000,0.032067
233,432.000,0.032024
234,433.000,0.031973
235,434.000,0.031912
236,435.000,0.031840
237,436.000,0.031755
238,437.000,0.031656
239,438.000,0.031542
240,439.000,0.031414
241,440.000,0.031270
242,441.000,0.031113
243,442.000,0.030941
244,443.000,0.030758
245,444.000,0.030564
246,445.000,0.030361
247,446.000,0.030152
248,447.000,0.029939
249,448.000,0.029726
250,449.000,0.029515
251,450.000,0.029310
252,451.000,0.029114
253,452.000,0.028930
254,453.000,0.028762
255,454.000,0.028612
256,455.000,0.028484
257,456.000,0.028381
258,457.000,0.028304
259,458.000,0.028257
260,459.000,0.028240
261,460.000,0.028255
262,461.000,0.028304
263,462.000,0.028385
264,463.000,0.028499
265,464.000,0.028646
266,465.000,0.028823
267,466.000,0.029030
268,467.000,0.029264
269,468.000,0.029522
270,469.000,0.029802
271,470.000,0.030099
272,471.000,0.030410
273,472.000,0.030732
274,473.000,0.031060
275,474.000,0.031389
276,475.000,0.031716
277,476.000,0.032036
278,477.000,0.032345
279,478.000,0.032640
280,479.000,0.032915
281,480.000,0.033169
282,481.000,0.033397
283,482.000,0.033597
284,483.000,0.033767
285,484.000,0.033905
286,485.000,0.034010
287,486.000,0.034082
288,487.000,0.034119
289,488.000,0.034122
290,489.000,0.034093
291,490.000,0.034032
292,491.000,0.033941
293,492.000,0.033823
294,493.000,0.033680
295,494.000,0.033514
296,495.000,0.033330
297,496.000,0.033130
298,497.000,0.032918
299,498.000,0.032697
300,499.000,0.032472
301,500.000,0.032244
302,501.000,0.032019
303,502.000,0.031798
304,503.000,0.031586
305,504.000,0.031383
306,505.000,0.031194
307,506.000,0.031019
308,507.000,0.030860
309,508.000,0.030719
310,509.000,0.030595
311,510.000,0.030490
312,511.000,0.030403
313,512.000,0.030333
314,513.000,0.030280
315,514.000,0.030243
316,515.000,0.030219
317,516.000,0.030208
318,517.000,0.030207
319,518.000,0.030214
320,519.000,0.030227
321,520.000,0.030244
322,521.000,0.030262
323,522.000,0.030280
324,523.000,0.030295
325,524.000,0.030307
326,525.000,0.030312
327,526.000,0.030311
328,527.000,0.030302
329,528.000,0.030284
330,529.000,0.030258
331,530.000,0.030223
332,531.000,0.030181
333,532.000,0.030131
334,533.000,0.030076
335,534.000,0.030016
336,535.000,0.029954
337,536.000,0.029891
338,537.000,0.029830
339,538.000,0.029774
340,539.000,0.029724
341,540.000,0.029683
342,541.000,0.029654
343,542.000,0.029640
344,543.000,0.029642
345,544.000,0.029662
346,545.000,0.029703
347,546.000,0.029766
348,547.000,0.029852
349,548.000,0.029962
350,549.000,0.030095
351,550.000,0.030254
352,551.000,0.030435
353,552.000,0.030639
354,553.000,0.030865
355,554.000,0.031110
356,555.000,0.031371
357,556.000,0.031647
358,557.000,0.031934
359,558.000,0.032229
360,559.000,0.032528
361,560.000,0.032828
362,561.000,0.033125
363,562.000,0.033414
364,563.000,0.033692
365,564.000,0.033954
366,565.000,0.034198
367,566.000,0.034420
368,567.000,0.034616
369,568.000,0.034784
370,569.000,0.034921
371,570.000,0.035025
372,571.000,0.035094
373,572.000,0.035128
374,573.000,0.035126
375,574.000,0.035088
376,575.000,0.035015
377,576.000,0.034907
378,577.000,0.034766
379,578.000,0.034594
380,579.000,0.034395
381,580.000,0.034170
382,581.000,0.033923
383,582.000,0.033658
384,583.000,0.033378
385,584.000,0.033088
386,585.000,0.032792
387,586.000,0.032494
388,587.000,0.032197
389,588.000,0.031907
390,589.000,0.031626
391,590.000,0.031358
392,591.000,0.031108
393,592.000,0.030877
394,593.000,0.030668
395,594.000,0.030484
396,595.000,0.030325
397,596.000,0.030194
398,597.000,0.030091
399,598.000,0.030017
400,599.000,0.029970
401,600.000,0.029951
402,601.000,0.029957
403,602.000,0.029989
404,603.000,0.030043
405,604.000,0.030118
406,605.000,0.030211
407,606.000,0.030319
408,607.000,0.030441
409,608.000,0.030572
410,609.000,0.030711
411,610.000,0.030853
412,611.000,0.030997
413,612.000,0.031141
414,613.000,0.031281
415,614.000,0.031416
416,615.000,0.031543
417,616.000,0.031662
418,617.000,0.031772
419,618.000,0.031871
420,619.000,0.031960
421,620.000,0.032038
422,621.000,0.032106
423,622.000,0.032164
424,623.000,0.032214
425,624.000,0.032258
426,625.000,0.032295
427,626.000,0.032330
428,627.000,0.032363
429,628.000,0.032396
430,629.000,0.032432
431,630.000,0.032472
432,631.000,0.032519
433,632.000,0.032574
434,633.000,0.032640
435,634.000,0.032716
436,635.000,0.032806
437,636.000,0.032909
438,637.000,0.033026
439,638.000,0.033157
440,639.000,0.033302
441,640.000,0.033459
442,641.000,0.033629
443,642.000,0.033809
444,643.000,0.033998
445,644.000,0.034194
446,645.000,0.034393
447,646.000,0.034594
448,647.000,0.034793
449,648.000,0.034988
450,649.000,0.035175
451,650.000,0.035350
452,651.000,0.035511
453,652.000,0.035656
454,653.000,0.035779
455,654.000,0.035880
456,655.000,0.035955
457,656.000,0.036003
458,657.000,0.036022
459,658.000,0.036010
460,659.000,0.035967
461,660.000,0.035892
462,661.000,0.035785
463,662.000,0.035648
464,663.000,0.035481
465,664.000,0.035286
466,665.000,0.035064
467,666.000,0.034820
468,667.000,0.034555
469,668.000,0.034274
470,669.000,0.033979
471,670.000,0.033675
472,671.000,0.033365
473,672.000,0.033055
474,673.000,0.032747
475,674.000,0.032447
476,675.000,0.032159
477,676.000,0.031887
478,677.000,0.031634
479,678.000,0.031403
480,679.000,0.031199
481,680.000,0.031024
482,681.000,0.030879
483,682.000,0.030767
484,683.000,0.030690
485,684.000,0.030647
486,685.000,0.030639
487,686.000,0.030666
488,687.000,0.030726
